,4624_2,4624_3,4634_2,4634_3,4656,4658,4660,4663,4672_2,4672_3,4688_cmd,4690_4658
4624_2,0,0,0,0,0,0,0,0,0.0,0,0,0
4624_3,0,0,0,0,0,0,0,0,0,0.0,0,0
4634_2,0,0,0,0,0,0,0,0,0,0,0,0
4634_3,0,-3.421779787371971,12.43679502139246,0.1736111111111111,0,0,0,0.1736111111111111,0,0,4.166666666666666,-13.528904122909374
4656,0,0,0.0649772579597141,0.0649772579597141,0,-2.1070891645156777,0,1.9771346485962482,0,0,0,0
4658,0,9.882964889466841,-0.21165382476993955,0.13003901170351106,0,0,0,0,0,0,-2.96378458914824,-6.837565487252178
4660,0,0,0,0,0,0.0,0,0,0,0,0,0
4663,0,0,0,0,0,-0.06234923843874185,0.06234923843874185,0,0,0,0,0
4672_2,0,0.19647058823530017,1.1164705882352912,0,0,0,0,0,0,0,0,-1.3129411764705878
4672_3,0,0.17271157167530224,0.5181347150259068,-1.2089810017271105,0.17271157167530224,0,0,0,0,0,0,0.3454231433506045
4688_cmd,0,24.147727272727273,-7.686343298759418,0,0,0,0,0,0,0,-5.951079587824557,-10.510304386143318
4690_4658,0,0.0646830530401035,0.45278137128072443,0,-0.5174644243208206,0,0,0,0,0,0,0
